name,price,sex,jewel_type,brand,material,color,jewel_weight,rocks,rock_details,dimensions,chain_carat,chain_length,diameter
Σκουλαρίκια με ρόμβους,225,Women,Earrings,Haritidis,Gold 14ct.,Gold,2.1,,,Length 4.5cm,,,
Σκουλαρίκια με κύκλους,300,Women,Earrings,Haritidis,Gold 14ct.,Gold,3.2,,,Length 5.7cm,,,
Κολιέ με χρωματιστές πέτρες,290,Women,Necklaces,Haritidis,Gold 14ct.,Gold,3.0,,,,,44.0,
Κολιέ μάτι-σταυρός,165,Women,Necklaces,Haritidis,Gold 14ct.,White,1.6,,,15 x 6 mm,,,
Κολιέ μάτι-σταυρός,180,Women,Necklaces,Haritidis,Gold 14ct.,White,1.8,,,15 x 8.8 mm,,,
Σκουλαρίκια νότες,80,Women,Earrings,Haritidis,Gold 14ct.,Gold,0.4,,,5 x 4 mm,,,
Σκουλαρίκια πεταλούδα,55,Children,Earrings,Haritidis,Gold 14ct.,Gold,0.30000000000000004,,,6.9 x 4.3 mm,,,
Σκουλαρίκια δέντρο,100,Women,Earrings,Haritidis,Gold 14ct.,Gold,0.7000000000000001,Pearl,Pearl 3.5mm,9 x 6.5 mm,,,
Σκουλαρίκια κορώνα,65,Women,Earrings,Haritidis,Gold 14ct.,Gold,0.4,Pearl,Pearl 3.5mm,6.3 x 4.7 mm,,,
Σκουλαρίκια καρδιά,50,Women,Earrings,Haritidis,Gold 14ct.,Gold,0.4,,,,,,3.0
Σκουλαρίκια με τοπάζι,690,Women,Earrings,Haritidis,Gold 18ct.,Rose,1.8,"Diamond, Topaz",London Blue Topaz 0.79ct & Diamonds 0.16ct,6.3 x 6.3 mm,,,
Σκουλαρίκια με γρανάδα,1690,Women,Earrings,Haritidis,Gold 18ct.,Rose,2.6,"Garnet , Diamond",Gronada 1.28ct. Diamonds brilliant 0.19ct & baguette 0.23ct,9 x 7.2 mm,,,
Σκουλαρίκια με μοργκανίτη,950,Women,Earrings,Haritidis,Gold 18ct.,Rose,2.1,"Diamond, Morganite",Moronganic 1.73ct & Diamonds 0.17ct,9 x 7.1 mm,,,
Σκουλαρίκια με μοργκανίτη,800,Women,Earrings,Haritidis,Gold 18ct.,Rose,1.9,"Diamond, Morganite",Moronganic 1.12ct & Diamonds 0.15ct,9 x 7 mm,,,
Σκουλαρίκια με ζαφείρι,1000,Women,Earrings,Haritidis,Gold 18ct.,White,1.7000000000000002,"Diamond, Sapphire",Sapphire 1.19ct & Diamonds 0.11ct,8.2 x 6.2 mm,,,
Σκουλαρίκια με σιτρίνη,820,Women,Earrings,Haritidis,Gold 18ct.,Gold,2.2,"Diamond, Citrine",Sitrin 1.97ct & Diamonds 0.17ct,9.8 x 7.8 mm,,,
Σκουλαρίκια με ακουαμαρίνα,760,Women,Earrings,Haritidis,Gold 18ct.,White,1.7000000000000002,"Aquamarine, Diamond",Aquamarine 0.75ct & Diamonds 0.11ct,8.3 x 6.2 mm,,,
Σκουλαρίκια με σμαράγδι,1600,Women,Earrings,Haritidis,Gold 18ct.,White,3.2,"Diamond, Emerald",Emerald 0.94ct & Diamonds 0.40ct,10.5 x 9 mm,,,
Σκουλαρίκια με σμαράγδι,1580,Women,Earrings,Haritidis,Gold 18ct.,Gold,2.8,"Diamond, Emerald",Emerald 0.83ct & Diamonds 0.44ct,10.3 x 8.8 mm,,,
Σκουλαρίκια με ζαφείρι,1760,Women,Earrings,Haritidis,Gold 18ct.,White,2.2,"Diamond, Sapphire",Sapphire 1.31ct & Diamonds 0.34ct,,,,9.0
Σταυρός ανδρικός,240,Men,Cross,Haritidis,Gold 14ct.,White,2.4,,,25 x 17 mm,14.0,50.0,
Δαχτυλίδι κύκλοι,160,Women,Ring,Haritidis,Gold 14ct.,White,1.6,,,,,,
Δαχτυλίδι διπλό,200,Women,Ring,Haritidis,Gold 14ct.,White,1.5,,,,,,
Δαχτυλίδι διπλό,200,Women,Ring,Haritidis,Gold 14ct.,Gold,2.1,,,,,,
Μονόπετρο δαχτυλίδι,235,Women,Ring,Haritidis,Gold 14ct.,White,2.3,,,,,,
Σκουλαρίκια κρίκοι,455,Women,Earrings,Haritidis,Gold 14ct.,Gold,4.6,,,,,,50.0
Σκουλαρίκια κρίκοι,290,Women,Earrings,Haritidis,Gold 14ct.,Gold,2.9,,,,,,37.0
Σκουλαρίκια κρίκοι,115,Women,Earrings,Haritidis,Gold 14ct.,Gold,1.2,,,,,,24.0
Σταυρός ανδρικός,235,Men,Cross,Haritidis,Gold 14ct.,White & Gold,2.5,,,22.5 x 16 mm,14.0,50.0,
Σταυρός ανδρικός,290,Men,Cross,Haritidis,Gold 14ct.,White & Gold,3.1,,,30.5 x 20 mm,14.0,50.0,
Σταυρός ανδρικός,250,Men,Cross,Haritidis,Gold 14ct.,White & Gold,2.5,,,25 x 17.2 mm,14.0,50.0,
Σκουλαρίκια κύκλοι,160,Women,Earrings,Haritidis,Gold 14ct.,White,1.6,,,,,,
Σκουλαρίκια κύκλος,100,Women,Earrings,Haritidis,Gold 14ct.,Gold,1.0,,,,,,6.0
Κολιέ άπειρο,195,Women,Necklaces,Haritidis,Gold 14ct.,White,2.0,,,22.2 x 8.7 mm,,40.0,
Κολιέ ροζέτα,165,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.8,,,7.6 x 7.6 mm,,40.0,
Κολιέ baguette,175,Women,Necklaces,Haritidis,Gold 14ct.,White,1.9,,,8 x 8 mm,,45.0,
Κολιέ καρδιά,185,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.9,,,8.4 x 8 mm,,40.0,
Κολιέ καρδιά,185,Women,Necklaces,Haritidis,Gold 14ct.,Rose,2.0,,,,,40.0,8.0
Κολιέ Δέντρο της ζωής,140,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.4,,,,,45.0,11.0
Βραχιόλι παιδκό,105,Children,Bracelet,Haritidis,Gold 14ct.,Gold,1.1,,,Length: 14.5cm,,,
Ταυτότητα,105,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.1,,,,,,
Βραχιόλι με κρεμάστα,155,Women,Bracelet,Haritidis,Gold 14ct.,Rose,1.7000000000000002,,,Length: 18cm,,,
Βραχιόλι παιδικό,120,Children,Bracelet,Haritidis,Gold 14ct.,Rose,1.3,,,,,,
Βραχιόλι παιδικό,110,Children,Bracelet,Haritidis,Gold 14ct.,Rose,1.1,,,,,,
Παιδική παραμάνα,145,Children,Safety pins,Haritidis,Gold 14ct.,Gold,1.5,,,28mm,,,
Παιδική παραμάνα,95,Children,Safety pins,Haritidis,Gold 14ct.,Gold,1.0,,,,,,
Παναγία - Κωνσταντινατο,80,Children,Religious jewels,Haritidis,Gold 14ct.,White & Gold,0.8,,,13.4 x 11 mm.,,,
Ιησούς - Κωνσταντινατο,90,Children,Religious jewels,Haritidis,Gold 14ct.,White & Gold,0.8,,,13.4 x 11 mm.,,,
Κωνσταντινάτο,130,Children,Religious jewels,Haritidis,Gold 14ct.,Gold,1.4,,,,,,14.0
Παιδική παραμάνα,135,Children,Safety pins,Haritidis,Gold 14ct.,Gold,1.3,,,25.3mm,,,
Ταυτότητα,100,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.0,,,,,,
Ταυτότητα,120,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.2,,,,,,
Ταυτότητα,100,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.0,,,,,,
Ταυτότητα,100,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.0,,,,,,
Ταυτότητα,100,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.0,,,,,,
Δαχτυλίδι ολόβερο,550,Women,Ring,Haritidis,Gold 18ct.,White,1.4,Diamond,Diamond 0.16ct,,,,
Δαχτυλίδι διπλό illusion,400,Women,Ring,Haritidis,Gold 18ct.,White,1.9,Diamond,Diamond 0.04ct,,,,
Μονόπετρο Δαχτυλίδι,630,Women,Ring,Haritidis,Gold 18ct.,White,3.3,Diamond,Diamond 0.11ct,,,,
Δαχτυλίδι μισόβερο,540,Women,Ring,Haritidis,Gold 18ct.,Gold,1.9,Diamond,Diamonds 0.08ct,,,,
Δαχτυλίδι μισόβερο,570,Women,Ring,Haritidis,Gold 18ct.,Rose,2.1,Diamond,Diamonds 0.08ct,,,,
Δαχτυλίδι μισόβερο,570,Women,Ring,Haritidis,Gold 18ct.,White,2.1,Diamond,Diamonds 0.08ct,,,,
Δαχτυλίδι μισόβερο,1070,Women,Ring,Haritidis,Gold 18ct.,White,1.6,Diamond,Diamonds 0.35ct,,,,
Μονόπετρο Δαχτυλίδι,600,Women,Ring,Haritidis,Gold 18ct.,White,2.7,Diamond,Diamonds 0.08ct,,,,
Δαχτυλίδι με γρανάδα,1000,Women,Ring,Haritidis,Gold 18ct.,Rose,2.3,"Garnet , Diamond",Gronada 0.61ct. Diamonds brilliant 0.09ct & baguette 0.12ct,,,,
Δαχτυλίδι με τοπάζι,1050,Women,Ring,Haritidis,Gold 18ct.,White,3.2,"Diamond, Topaz",London blue Topaz 2.77ct & Diamond 0.22ct,,,,
Δαχτυλίδι με τοπάζι,680,Women,Ring,Haritidis,Gold 18ct.,Rose,1.8,"Diamond, Topaz",London blue Topaz 0.44ct & Diamonds 0.17ct,,,,
Δαχτυλίδι με σιτρίνη,700,Women,Ring,Haritidis,Gold 18ct.,Gold,1.9,"Diamond, Citrine",Sitrin 1.12ct & Diamond 0.14ct,,,,
Δαχτυλίδι με ακουαμαρίνα,590,Women,Ring,Haritidis,Gold 18ct.,White,1.3,"Aquamarine, Diamond",Aquamarine 0.33ct & Diamond 0.11ct,,,,
Δαχτυλίδι με μοργκανίτη,720,Women,Ring,Haritidis,Gold 18ct.,Rose,1.6,"Diamond, Morganite",Moronganic 0.85ct & Diamond 0.14ct,,,,
Δαχτυλίδι με μοργκανίτη,620,Women,Ring,Haritidis,Gold 18ct.,Rose,1.6,"Diamond, Morganite",Moronganic 0.62ct & Diamond 0.12ct,,,,
Δαχτυλίδι με ζαφείρι,2200,Women,Ring,Haritidis,Gold 18ct.,White,3.3,"Diamond, Sapphire",Sapphire 1.00ct & Diamond 0.57ct,,,,
Δαχτυλίδι με ζαφείρι,770,Women,Ring,Haritidis,Gold 18ct.,White,1.7000000000000002,"Diamond, Sapphire",Sapphire 0.59ct & Diamond 0.10ct,,,,
Δαχτυλίδι με ζαφείρι,1200,Women,Ring,Haritidis,Gold 18ct.,White,3.1,"Diamond, Sapphire",Sapphire 0.73ct & Diamond 0.17ct,,,,
Δαχτυλίδι με ζαφείρι,950,Women,Ring,Haritidis,Gold 18ct.,White,1.9,"Diamond, Sapphire",Sapphire 1.25ct & Diamond 0.15ct,,,,
Δαχτυλίδι με σμαράγδι,950,Women,Ring,Haritidis,Gold 18ct.,Gold,2.5,"Diamond, Emerald",Emerald 0.46ct & Diamond 0.22ct,,,,
